Player,School,Year,Pick,Pos,G,MP,FG%,2P%,3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS
Zion Williamson,Duke,2019,1,PF,33,990,0.68,0.747,0.338,0.64,22.6,11.97,0.702,0.708,0.163,0.467,5.5
Ja Morant,Murray St.,2019,2,PG,65,2295,0.485,0.545,0.343,0.81,18.7,-3.32,0.597,0.536,0.298,0.501,9.4
R.J. Barrett,Duke,2019,3,SG,38,1341,0.454,0.529,0.308,0.665,22.6,11.97,0.532,0.506,0.338,0.319,3.8
DeAndre Hunter,Virginia,2019,4,SF/PF,71,1891,0.509,0.541,0.419,0.773,12.4,9.61,0.606,0.564,0.264,0.42,6.8
Darius Garland,Vanderbilt,2019,5,PG,5,139,0.537,0.581,0.478,0.75,16.2,7.79,0.657,0.639,0.426,0.296,0.4
Jarrett Culver,Texas Tech,2019,6,SG,75,2212,0.459,0.522,0.341,0.687,14.9,9.56,0.548,0.518,0.351,0.363,5.3
Coby White,North Carolina,2019,7,PG,35,999,0.423,0.5,0.353,0.8,16.1,11.35,0.556,0.516,0.523,0.293,2.4
Jaxson Hayes,Texas,2019,8,C,32,747,0.728,0.728,0,0.74,10,11.46,0.739,0.728,0,0.592,2.8
Rui Hachimura,Gonzaga,2019,9,SF/PF,102,2012,0.579,0.607,0.316,0.746,12.1,3.91,0.629,0.594,0.095,0.474,7.8
Cameron Reddish,Duke,2019,10,SF,36,1069,0.356,0.394,0.333,0.772,13.5,11.97,0.499,0.459,0.618,0.264,0.8
Cameron Johnson,UNC,2019,11,SF,135,3425,0.457,0.523,0.405,0.817,11.2,10.06,0.601,0.571,0.565,0.242,9.9
P.J. Washington,Kentucky,2019,12,PF,72,2036,0.521,0.547,0.384,0.632,12.9,10.51,0.577,0.551,0.159,0.619,5.3
Tyler Herro,Kentucky,2019,13,SG,37,1207,0.462,0.538,0.355,0.935,14,10.29,0.58,0.536,0.419,0.231,3.3
Romeo Langford,Indiana,2019,14,SG,32,1090,0.448,0.53,0.272,0.722,16.5,10.1,0.542,0.491,0.316,0.491,2.4
Chuma Okeke,Auburn,2019,16,PF,72,1839,0.481,0.55,0.389,0.703,9.9,9.11,0.584,0.564,0.424,0.269,5
Nickeil Alexander-Walker,Virginia Tech,2019,17,SG,67,2006,0.464,0.529,0.383,0.763,13.5,7.25,0.582,0.549,0.448,0.306,4.3
Mattise Thybulle,Washington,2019,20,SG/SF,135,3963,0.429,0.507,0.358,0.782,9.2,7,0.55,0.522,0.52,0.21,4.4
Brandon Clarke,Gonzaga,2019,21,PF,98,2725,0.639,0.649,0.25,0.618,14.5,2.7,0.643,0.642,0.026,0.429,10.4
Grant Williams,Tennessee,2019,22,PF,104,3003,0.516,0.54,0.291,0.758,15.7,10.15,0.591,0.53,0.097,0.621,10.2
Ty Jerome,Virginia,2019,24,PG,105,2775,0.435,0.479,0.392,0.788,9.6,10.05,0.558,0.534,0.508,0.181,7
Nassir Little,North Carolina,2019,25,SF/PF,36,656,0.478,0.527,0.269,0.77,9.8,11.35,0.549,0.504,0.19,0.365,1.4
D. Windler,Belmont,2019,26,SG/SF,128,3759,0.541,0.669,0.406,0.761,13.2,-2.32,0.663,0.64,0.487,0.34,11.8
Mfiondu Kabengele,Florida St.,2019,27,PF/C,71,1301,0.498,0.526,0.374,0.724,10.3,9.38,0.58,0.532,0.182,0.558,4.2
Jordan Poole,Michigan,2019,28,SG,97,1700,0.434,0.519,0.37,0.831,9.4,9.98,0.576,0.54,0.572,0.261,3.1
Keldon Johnson,Kentucky,2019,29,SG,37,1137,0.461,0.498,0.381,0.703,13.5,10.29,0.558,0.521,0.316,0.416,2.9
Kevin Porter Jr.,USC,2019,30,SG/SF,21,464,0.471,0.517,0.412,0.522,9.5,4.96,0.559,0.561,0.433,0.293,0.5